"","N2_CTR_1","N2_CTR_3","N2_CTR_4","N2_HS_1","N2_HS_3","N2_HS_4"
"WBGene00009027",365.00582094187,278.209394629884,349.827165333688,486.647750081099,304.344099108317,266.468421312687
"WBGene00007648",8.86930032195198,10.3809475608165,7.69619763734113,5.48335493049126,20.5385588355306,51.9938383049146
"WBGene00007649",264.714501916721,445.688681944391,389.707462181728,31.5292908503247,143.769911848714,135.400620585715
"WBGene00007650",1309.2451782943,1004.87572388704,943.134037739623,712.836140963864,713.248134106609,1181.77661647212
"WBGene00007651",165.105436762491,175.091982192439,156.722570069492,234.413423278501,123.231353013184,179.812024137829
"WBGene00200358",0,0,0,0,1.86714171232096,0
"WBGene00197154",1.36450774183877,0,0,0,0,3.24961489405716
"WBGene00023491",49.804532577115,84.4317068279746,51.7744204693858,47.9793556417985,48.5456845203451,40.0785836933716
"WBGene00219544",0.682253870919383,0,0,2.74167746524563,9.33570856160482,17.3312794349715
"WBGene00007652",86.6462416067616,126.647560241962,83.9585196800851,152.163099321132,220.322722053874,252.386756771773
"WBGene00003553",332.939889008659,553.650536576883,639.484058229982,1899.98248341522,181.112746095134,173.312794349715
"WBGene00198604",0,0,0,8.22503239573689,5.60142513696289,3.24961489405716
"WBGene00007653",657.692731566285,730.818708281485,804.602480267482,1024.01653326924,914.899439037273,842.73346252549
"WBGene00013919",860.322131229342,795.180583158548,834.687616486179,1295.44260232856,731.919551229818,835.15102777269
"WBGene00013920",646.094415760656,684.450475843171,687.76020704603,559.302202910108,696.44385869572,530.770432696003
"WBGene00003232",22.5143777403396,12.4571370729799,16.0920496053496,32.9001295829476,29.8742673971354,10.8320496468572
"WBGene00200119",0,0,0,0,0,1.08320496468572
"WBGene00008954",61.4028483827445,39.4476007311029,46.1771858240468,78.1378077595004,89.6228021914063,93.1556269629719
"WBGene00003277",0,0,1.39930866133475,6.85419366311407,1.86714171232096,0
"WBGene00001708",371.828359651064,291.358594873585,362.420943285701,363.272264145046,255.798414587972,250.220346842401
"WBGene00219904",34.7949474168885,22.1460214630753,54.5730377920553,31.5292908503247,5.60142513696289,21.6640992937144
"WBGene00194847",34.7949474168885,32.5269690238919,42.6789141707099,2.74167746524563,14.9371336985677,10.8320496468572
"WBGene00200846",0,0,0,6.85419366311407,1.86714171232096,3.24961489405716
"WBGene00196009",0,0.692063170721103,0,0,0,0
"WBGene00008951",210.816446114089,251.218930971761,281.960695258952,488.018588813722,487.323986915772,521.021588013831
"WBGene00008952",23.8788854821784,24.2222109752386,29.3854818880298,10.9667098609825,14.9371336985677,16.2480744702858
"WBGene00199096",0,0,0,0,5.60142513696289,0
"WBGene00008953",133.03950482928,123.879307559078,110.545384245445,76.7669690268776,69.0842433558757,58.4930680930289
"WBGene00009645",939.46358025599,930.824964619884,1024.99359442771,1129.5711156812,1512.38478697998,1477.49157183132
"WBGene00014374",0,0,0,0,5.60142513696289,5.4160248234286
"WBGene00003368",145.320074505829,146.717392192874,141.33017479481,179.579873973589,168.042754108887,85.5731922101719
"WBGene00012162",32.065931933211,26.2984004874019,60.1702724373943,100.071227481465,72.8185267805176,76.9075524926861
"WBGene00013872",67.5431332210189,59.5174326820149,75.5626677120766,452.376781765529,100.825652465332,274.050856065487
"WBGene00013871",6.82253870919383,0,2.7986173226695,10.9667098609825,7.46856684928386,15.1648695056001
"WBGene00013866",515.783926415054,375.790301701559,473.665981861813,1095.30014736563,782.332377462484,871.979996572005
"WBGene00013867",1097.74647830929,1646.4182831455,1775.02303690313,0,324.882657943848,144.066260303201
"WBGene00013868",20.4676161275815,19.3777687801909,20.9896299200213,23.3042584545879,48.5456845203451,30.3297390112002
"WBGene00013869",894.434824775311,742.583782183744,964.823321990311,600.427364888793,801.003794585694,821.069363231776
"WBGene00013870",87.328495477681,86.5078963401379,97.2519519627652,201.513293695554,87.7556604790853,110.486906397943
"WBGene00000930",13.6450774183877,15.2253897558643,3.49827165333688,4315.40033029662,281.938398560466,343.375973805373
"WBGene00000749",20.4676161275815,36.6793480482185,44.0782228320447,434.555878241432,140.035628424072,99.6548567510862
"WBGene00201651",0,0,0,5.48335493049126,5.60142513696289,12.9984595762286
"WBGene00012326",2739.93154561224,2535.0273943514,3054.69080769376,5095.407569159,3043.44099108317,3169.45772667042
"WBGene00199903",0,0,0,0,1.86714171232096,8.66563971748576
"WBGene00044686",271.537040625914,254.679246825366,250.476250378921,350.934715551441,360.358350477946,321.711874511659
"WBGene00001446",106.431603863424,96.8888439009545,89.5557543254241,327.630457096853,158.707045547282,212.308173078401
"WBGene00001445",27.2901548367753,53.9809273162461,39.8802968480404,57.5752267701582,20.5385588355306,35.7457638346288
"WBGene00197930",4.77577709643568,1.38412634144221,6.29688897600638,9.5958711283597,9.33570856160482,3.24961489405716
"WBGene00006792",130.310489345602,114.882486339703,172.114965344174,169.984002845229,173.64417924585,118.069341150743
